row_type,key,name,group_or_building,input_items,input_qty,output_items,output_qty,cycle_min,current_value_or_cost,formula_notes,owner_decision
RECIPE,process-fuel-cells,Fuel Cells,Fuel Processing Plant,gasoline|industrial-heat-blocks,30|10,fuel-cell,30,45,,profit_cycle = out_value - in_value,TUNE
RECIPE,process-machinery-fuel-packs,Machinery Fuel Packs,Fuel Processing Plant,diesel|processed-coal,30|10,machinery-fuel-pack,20,45,,profit_cycle = out_value - in_value,TUNE
RECIPE,tech-machine-computer,Machine Computer,Tech Plant,microchip|heat-sink|cut-diamond,10|10|5,machine-computer,5,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,craft-luxury-ring,Luxury Ring,Jewelry Shop,gold-ring|silver-ring|cut-diamond,5|5|5,luxury-ring,5,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,craft-luxury-watch,Luxury Watch,Jewelry Shop,gold-watch|silver-watch|cut-diamond,3|3|5,luxury-watch,3,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,fabricate-steel-beams,Steel Beams,Fabrication Plant,steel|industrial-heat-blocks,30|10,steel-beams,20,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,fabricate-machine-gear,Machine Gear,Fabrication Plant,steel|iron-bars,20|20,machine-gear,20,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,fabricate-robotic-arm,Robotic Machine Arm,Fabrication Plant,iron-bars|gold-bar|microchip,20|10|5,robotic-machine-arms,5,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,depot-window,Window,Material Depot,glass|industrial-heat-blocks,20|10,window,10,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,depot-foundation,Foundation,Material Depot,stone|concrete-mix|processed-coal,20|20|10,foundation,10,60,,profit_cycle = out_value - in_value,TUNE
RECIPE,depot-walls,Walls,Material Depot,brick|iron-bars,20|10,walls,10,60,,profit_cycle = out_value - in_value,TUNE
ITEM,fuel-cell,Fuel Cell,Fuel,,,,,,8,reference floor and minion anchor,CHECK
ITEM,raw-gold,Raw Gold,Raw Material,,,,,,42,reference floor and minion anchor,CHECK
ITEM,raw-silver,Raw Silver,Raw Material,,,,,,0.65,reference floor and minion anchor,CHECK
ITEM,raw-diamonds,Raw Diamonds,Raw Material,,,,,,120,reference floor and minion anchor,CHECK
ITEM,raw-oil,Crude Oil,Raw Material,,,,,,0.85,reference floor and minion anchor,CHECK
ITEM,raw-coal,Raw Coal,Raw Material,,,,,,0.12,reference floor and minion anchor,CHECK
ITEM,raw-iron,Raw Iron,Raw Material,,,,,,0.08,reference floor and minion anchor,CHECK
ITEM,raw-stone,Raw Stone,Raw Material,,,,,,0.02,reference floor and minion anchor,CHECK
ITEM,gold-bar,Gold Bar,Refined Material,,,,,,1850,reference floor and minion anchor,CHECK
ITEM,cut-diamond,Cut Diamond,Refined Material,,,,,,450,reference floor and minion anchor,CHECK
ITEM,steel,Steel,Refined Material,,,,,,0.35,reference floor and minion anchor,CHECK
ITEM,silver-bar,Silver Bar,Refined Material,,,,,,22,reference floor and minion anchor,CHECK
ITEM,diamond-dust,Diamond Dust,Refined Material,,,,,,85,reference floor and minion anchor,CHECK
ITEM,microchip,Microchip,Refined Material,,,,,,120,reference floor and minion anchor,CHECK
ITEM,heat-sink,Heat Sink,Refined Material,,,,,,45,reference floor and minion anchor,CHECK
ITEM,brick,Brick,Building Material,,,,,,1.2,reference floor and minion anchor,CHECK
ITEM,concrete-mix,Concrete Mix,Building Material,,,,,,2.5,reference floor and minion anchor,CHECK
ITEM,glass,Glass,Building Material,,,,,,3,reference floor and minion anchor,CHECK
ITEM,gold-ring,Gold Ring,Luxury Good,,,,,,4200,reference floor and minion anchor,CHECK
ITEM,gold-watch,Gold Watch,Luxury Good,,,,,,5500,reference floor and minion anchor,CHECK
ITEM,silver-ring,Silver Ring,Luxury Good,,,,,,55,reference floor and minion anchor,CHECK
ITEM,silver-watch,Silver Watch,Luxury Good,,,,,,85,reference floor and minion anchor,CHECK
ITEM,luxury-ring,Luxury Ring,Luxury Good,,,,,,8000,reference floor and minion anchor,CHECK
ITEM,luxury-watch,Luxury Watch,Luxury Good,,,,,,12000,reference floor and minion anchor,CHECK
ITEM,processed-coal,Processed Coal,Refined Material,,,,,,0.35,reference floor and minion anchor,CHECK
ITEM,gasoline,Gasoline,Refined Material,,,,,,2.8,reference floor and minion anchor,CHECK
ITEM,diesel,Diesel,Refined Material,,,,,,2.6,reference floor and minion anchor,CHECK
ITEM,iron-bars,Iron Bars,Refined Material,,,,,,1.5,reference floor and minion anchor,CHECK
ITEM,steel-beams,Steel Beams,Building Material,,,,,,8,reference floor and minion anchor,CHECK
ITEM,machine-gear,Machine Gear,Component,,,,,,95,reference floor and minion anchor,CHECK
ITEM,robotic-machine-arms,Robotic Machine Arms,Component,,,,,,450,reference floor and minion anchor,CHECK
ITEM,machinery-fuel-pack,Machinery Fuel Pack,Fuel,,,,,,25,reference floor and minion anchor,CHECK
ITEM,industrial-heat-blocks,Industrial Heat Blocks,Refined Material,,,,,,12,reference floor and minion anchor,CHECK
ITEM,sand,Sand,Raw Material,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,stone,Stone,Raw Material,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,gravel,Gravel,Raw Material,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,window,Window,Building Material,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,foundation,Foundation,Building Material,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,walls,Walls,Building Material,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,diamond-drill-bits,Diamond Drill Bits,Component,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,precision-cutting-heads,Precision Cutting Heads,Component,,,,,,,missing value in ItemValueCatalog,FILL
ITEM,machine-computer,Machine Computer,Component,,,,,,,missing value in ItemValueCatalog,FILL
